1-UP	1-up
이용	employment
이웃 사람	neighbour
이웃	neighbour
이원론	dualism
이월	February
이유	reason
이음	allophone
이의 있습니다	objection
이익	benefit
이익	interest
이익	profit
이인삼각	three-legged race
이인칭	second person
이자	interest
이자	pancreas
이전의	past
이전의	paﬆ
이전의	previous
이점	advantage
이제	now
이제까지	ever
이제부터	as of now
이제부터	from now on
이제부터	henceforth
이제부터	henceforward
이제부터는	as of now
이제부터는	from now on
이제부터는	henceforth
이제부터는	henceforward
이종격투기	mixed martial arts
이종환식	heterocyclic
이주	immigration
이중성	dualism
이중수소	deuterium
이중수소	heavy hydrogen
이중음자	digram A pair of characters used to write one sound
이중음자	digraph
이즈미르	İzmir
이지메	bullying
이질	dysentery
이집트 구어체 아랍어	Egyptian Arabic
이집트 사람	Egyptian
이집트	Arab Republic of Egypt
이집트	Egypt
이창	Yichang
이케바나	ikebana
이콘	icon
이퀄라이저	equalizer
이크라	caviar
이크라	ikra
이클립스	Eclipse
이클립스	eclipse
이탈	secession
이탈리아 놈	wop
이탈리아	Italian Republic
이탈리아	Italy
이탈리아어	Italian
이탈리아인	Italian
이탈리안 소네트	Petrarchan sonnet
이태리 놈	wop
이태리	Italy
이터븀	ytterbium
이테르븀	ytterbium
이트륨	yttrium
이해	comprehension
이해가 빠르게	perspicaciously
이해가 빠른	apprehensive
이해가 안가요	I do not understand
이해가 안가요	I don't understand
이해력	intelligence
이해하다	appreciate
이해하다	apprehend
이해하다	conceive
이해하다	understand
이행	implementation
이혼	divorce
이혼남	divorcee
이혼녀	divorcee
이혼하다	divorce
이후	since
이후	then
익룡	pterosaur
익명	pseudonym
익명의	anonymous
익숙해지다	adapt
익스트라넷	extranet
인 것 같다	seem
인 비보	in vivo
인 비트로	in vitro
인 체하다	pretend
인	person
인	phosphorus
인가	approval
인간 공학	ergonomics
인간	humanity
인간면역결핍 바이러스	human immunodeficiency virus
인감	stamp
인격	personality
인공 젖꼭지	pacifier
인공 지능	artificial intelligence
인공두뇌학	cybernetics
인공어	artificial language
인공어	conlang
인공어	constructed language
인공어	planned language
인공유산	abortion
인구 밀도	population density
인구	population
인구시 공화국	Ingushetia
인구시 공화국	Republic of Ingushetia
인구시어	Ingush
인권	human right
인권	human rights
인권	human-rights
인기	popularity
인기가 있다	in demand
인기있는	popular
인내	perseverance
인대	ligament
인더스 문명	Indus Valley Civilization
인도 대마	cannabis
인도 사람	Indian
인도	India
인도	Republic of India
인도	pavement
인도	sidewalk
인도네시아	Indonesia
인도네시아	Republic of Indonesia
인도네시아어	Indonesian
인도르	Indore
인도양	Indian Ocean
인도유럽의	Indo-European
인도유럽조어	Proto-Indo-European
인도인	Indian
인도적	humanitarian
인도주의	humanism
인도주의	humanitarian
인도차이나	Indochina
인두	pharynx
인두염	pharyngitis
인듐	indium
인디애나 주	Indiana
인디애나폴리스	Indianapolis
인디언 서머	Indian summer
인디언	Indian
인라인 스케이트	rollerblade
인력	gravitation
인력	gravity
인력거	rickshaw
인류 원리	anthropic principle
인류	human
인류	human being
인류	humanity
인류	humankind
인류	man
인류	man's
인류	mankind
인류지리학	human geography
인류학	anthropology
인마	centaur
인문주의	humanism
인문학	humanities
인물	figure
인물이 아닌 그라	persona non grata
인민공화국	people's republic
인민공화국	people’s republic
인민폐	renminbi
인버네스	Inverness
인사	curtsey
인사	greeting
인사	welcome
인삼	ginseng
인상주의	impressionism
인색하다	miserly
인색한	miserly
인생의 의미	meaning of life
인샬라	inshallah
인소	phosphorus
인쇄자	printer
인쇄하다	print
인술	ninjutsu
인슐린	insulin
인스타그램	Instagram
인스턴트 메신저	instant messaging
인스턴트 커피	instant coffee
인식론	epistemology
인신 매매	human trafficking
인어	mermaid
인용	quotation
인자한	philanthropic
인장	stamp
인정 많은	philanthropic
인정하다	acknowledge
인정하다	admission
인정하다	admit
인종 차별	racism
인종 차별주의	racism
인종차별	racism
인중	philtrum
인증	authentication
인지	cognition
인지심리학	cognitive approach
인지심리학	cognitive psychology
인지질	phospholipid
인지하다	discern
인질	hostage
인천	Incheon
인촨	Yinchuan
인칭	person
인칭대명사	personal pronoun
인칭대명사	personal pronouns
인코딩	encoding
인터내셔널	Internationale
인터네트	Internet
인터넷 라디오	Internet radio
인터넷 카페	Internet cafe
인터넷	Internet
인터링구아	Interlingua
인터뷰	interview
인터페이스	interface
인터폰	intercom
인테르링구아	Interlingua
인텔	Intel
인텔리겐치아	intelligentsia
인토네이션	intonation
인프라	infrastructure
인프라스트럭처	infrastructure
인플레이션	inflation
인플루엔자	flu
인플루엔자	influenza
인형	action figure
인형	doll
인형	puppet
인형극	puppet show
인화지	photopaper
인회석	apatite
인후	throat
일 드 프랑스	Île-de-France
일	Japanese
일	Nippo
일	Sun
일	day
일	employment
일	task
일각고래	narwhal
일각수	unicorn
일견하여	at first glance
일곱 번째의	7th
일곱 번째의	seventh
일곱시	seven o'clock
일곱째	7th
일곱째	seventh
일과	routine
일과표	timetable
일광	sunbeam
일광욕	sunbath
일광욕을 하다	sunbathe
일기 예보	weather report
일기	diary
일기	weather
일드	dorama
일드프랑스	Île-de-France
일렉트로니카	electronica
일리노이	Illinois
일리아드	Iliad
일리아스	Iliad
일문 한자	kanji
일문한자	kokuji
일박	overnight
일반	general
일반	regular
일반교서	State of the Union
일반교서	State of the Union Address
일반석	coach
일반석	coach class
일반석	economy class
일반석	standard class
일반석	steerage
일보	daily
일본 드라마	dorama
일본 만화	manga
일본	Japan
일본	State of Japan
일본군 성노예	comfort woman
일본말	Japanese
일본사람	Japanese
일본어 능력 시험	JLPT
일본어	Japanese
일본의 팝음악	J-pop
일본의	Japanese
일본인	Japanese
일본해	Sea of Japan
일본해	the Sea of Japan
일본화	Japanification
일부	part
일부	portion
일부의	partial
일부일처제	monogamy
일사량	insolation
일사부재리	double jeopardy
일산화 탄소	carbon monoxide
일산화 탄소	carbonous oxide
일산화탄소	carbon monoxide
일상 회화 사전	phrase book
일생	age
일석이조	kill two birds with one stone
일손	hand
일시적인	temporary
일식	solar eclipse
일식	solar eclipse The full or partial covering of the Sun as viewed from Earth when the Moon passes between the Sun and the Earth
일신교	monotheism
일신론	monotheism
일어	Japanese
일어나	arouse
일어나	awake
일어나	awaken
일어나	rouse
일어나	wake
일어나	wake up
일어나	waken
일어나다	arise
일어나다	be
일어나다	get up
일어나다	happen
일어나다	take place
일어나다	wake up
일어서다	stand somebody up
일어서다	stand someone up
일어서다	stand up
일어섬	tombstoning
일요일	Sunday
일월	January
일을 용이하게 하다	facilitate
일이 빠른 사람	automobile
일인칭	first person
일자리	employment
일자리	job
일정	itinerary
일정	uniform
일주야	day
일주호	diurnal arc
일찍	early
일차	linear
일층	first floor
일층	ground floor
일치	accord
일치	unity
일치하다	agree
일하다	labour
일하다	work
일학년	freshman
일흔둘	seventy-two
일흔세	seventy-three
일흔째	seventieth
일흔한	seventy-one
읽다	read
잃다	lost
임계점	critical point
임금	king
임금	remuneration
임금	salary
임금	wage
임기	tenure
임대인	lessor
임명	appointment
임명하다	assign
임명하다	set apart
임명하다	specify
임무	assignment
임무	mission
임무	task
임부	mother to be
임부	mother-to-be
임산부	mother to be
임산부	mother-to-be
임신	conception
임신	gestation
임신	gravidity
임신	pregnancy
임신부	mother to be
임신부	mother-to-be
임신하는	maternal
임신하다	conceive
임신하다	pregnant
임신한	expecting
임신한	pregnant
임질	gonorrhea
임팔라	impala
입	mouth
입구	portal
입다	put on
입대하다	enlist
입덧	morning sickness
입맛	appetite
입목	timber
입법	legislation
입법자	legislator
입술	lip
입술없음증	liplessness
입술연지	lipstick
입실론	upsilon
입양	adoption
입양아	adoptee
입양하다	adopt
입어 보다	fit
입어 보다	try on
입원	hospitalization
입의	oral
입자	particle
입자	speck
입자물리학	particle physics
입천장	palate
입체	do me a solid
입체	do someone a solid
입체	solid
입체파	cubism
입향순속	when in Rome do as the Romans do
입향순속	when in Rome, do as the Romans
입향순속	when in Rome, do as the Romans do
입헌 군주제	constitutional monarchy
입히다	apparel
잇꽃	safflower
잇몸	gingiva
잇몸	gum
잇몸	gums
있다	be
있다	have
있다	there are
있다	there be
있다	there is
잉글랜드	England
잉글랜드계 미국인	Anglo-American
잉글리시 호른	cor anglais
잉부	mother to be
잉부	mother-to-be
잉어	carp
잉여	redundancy
잉크	ink
잉크병	inkwell
잊다	forget
잎	blade
잎	leaf
잎겨드랑이	axil
잎사귀	blade
자, 어서	here you are
자	let's
자	let’s
자	ruler
자가당착	paradox
자가수혈	autotransfusion
자각	consciousness
자갈	gravel
자갈	pebble
자객	assassin
자구다복	heaven helps those who help themselves
자군 절제	hysterectomy
자궁	womb
자궁관	Fallopian tube
자궁내막	endometrium
자궁내막	endometrium The mucus membrane that lines the uterus in mammals and in which fertilized eggs are implanted
자궁외임신	ectopic pregnancy
자그레브	Zagreb
자그마하다	puny
자극하다	arouse
자기 나라	homeland
자기 본위의	selfish
자기 언급	self-reference
자기 참조	self-reference
자기 충족적 예언	self-fulfilling prophecy
자기	darling
자기	magnetism
자기	oneself
자기권	magnetosphere
자기장	magnetic field
자기조절	autoregulation
자네	address with the polite V-form
자네	you
자네들	address with the polite V-form
자네들	you
자녀	offspring
자다	kip
자다	sleep
자다	slumber
자당	sucrose
자동	auto
자동사	intransitive
자동사	intransitive verb
자동차	automobile
자동차	car
자동판매기	vending machine
자두	plum
자라	soft-shell turtle
자라다	grow
자라투스트라교	Mazdaism
자라투스트라교	Zoroastrianism
자랑	pride
자랑스러운	proud
자랑스럽게	proudly
자료	data
자루 걸레	mop
자루	bag
자르다	shear
자르칸드 주	Jharkhand
자르칸드	Jharkhand
자리	place
자막	subtitle
자매	sister
자메이카	Jamaica
자명금	music box
자명종	alarm clock
자명하다	axiomatic
자모	jamo
자무쓰	Jiamusi
자바	Java
자발성	spontaneity
자발적으로	spontaneously
자벌레	geometrid
자벌레	inchworm
자벌레	looper
자벌레	measuring worm
자벌레	spanworm
자본	capital
자본주의	capitalism
자뼈	ulna
자산	asset
자산	substance
자살	suicide
자살하다	commit suicide
자서	dictionary
자서전	autobiography
자석	magnet
자석	magnet  A material or object that produces a magnetic field
자석	magnetic
자선	charity
자선행사	benefit
자세	attitude
자세한 정보	verbose
자손	descendant
자손	posterity
자손	progeny
자손	scion
자수	embroidery
자신	confidence
자신	myself
자신	oneself
자신의	one's
자신의	one’s
자아	ego
자애롭다	motherly
자업자득	make one's bed and lie in it
자업자득	make one's bed and sleep in it
자업자득	make one's own bed
자업자득	make one's own bed and lie in it
자업자득	make one's own bed and sleep in it
자업자득	make the bed one lies in
자업자득	make the bed one sleeps in
자업자득	you made your bed, now sleep in it
자업자득	you've made your bed, now lie in it
자역	transliterate
자연	nature
자연과학	natural science
자연법	natural law
자연어	natural language
자연의	natural
자우어크라우트	sauerkraut
자웅동체	hermaphroditism
자원	resource
자위	masturbation
자위기구	sex toy
자위대	JSDF
자유 무역	free trade
자유 소프트웨어	free software
자유	free
자유	freedom
자유	liberal
자유	liberty
자유적	free
자유주의	liberalism
자율	autonomy
자율성	autonomy
자음	consonant
자의	free
자이	Chiayi
자이나교	Jainism
자이로스코프	gyroscope
자이푸르	Jaipur
자인하다	commit suicide
자일리톨	xylitol
자작나무	birch
자장	magnetic field
자장가	lullaby
자장노래	lullaby
자전	dictionary
자전거	bicycle
자전거	bike
자전거	cycle
자전거를 타다	cycle
자존심	self-respect
자주	a lot
자주	a lot of
자주	often
자주	sometimes
자주색	purple
자지	dick
자지	dong
자지	member
자지	pecker
자지	penis
자지	pickle
자지	prick
자지	putz The male sexual organ for copulation and urination
자지	the tubular portion of the male genitalia
자책골	own goal
자책골	own goal A goal scored by a player that is registered against his or her own team
자철석	magnetite
자청색	magenta
자치	autonomous
자치	autonomy
자카르타	DKI Jakarta
자카르타	Djakarta
자카르타	Jakarta
자칼	jackal
자판	computer keyboard
자판	keyboard
자판기	vending machine
자폐증	autism
자폐증적	autistic
자폭	suicide bombing
자프나	Jaffna
자홍색	magenta
작가	author
작가	writer
작곡	composition
작곡가	composer
작년	last year
작동	action
작별	farewell
작사가	lyricist
작살	harpoon
작센	Saxony
작업 표시줄	taskbar
작업실	atelier
작업실	studio
작업장	workshop
작업하다	pick up
작용	action
작용	operation
작용기	functional group
작용기	moiety
작은 삽화	vignette
작은	little
작은	small
작은개자리	Canis Minor
작은창자	small intestine
작음	runt
작의 강선전도	plot twist
작전	operation
작풍	out of style
작풍	style
잔	glass
잔돈	change
잔돈	loose change
잔디깎기	lawn mower
잔디밭	grass
잔뜩 취하다	inebriate
잔인한	cruel
잔점박이물범	common seal
잔점박이물범	harbor seal
잔점박이물범	harbour seal
잔지바르	Zanzibar
잘 가	goodbye
잘 가	see you later
잘 다녀 오십시오	bon voyage
잘 오셨습니다	welcome
잘 있어	goodbye
잘 있어	see you later
잘 자요	good night
잘 지냈어요	how are you
잘라내다	resect
잘못	bad
잘못	error
잘못	mistake
잘못된 이름	misnomer
잘못된	malformed
잘생기다	handsome
잘츠부르크	Salzburg
잠 들어	asleep
잠	sleep
잠깐	awhile
잠든 척 하다	play possum
잠든	asleep
잠망경	periscope
잠무 카슈미르 주	Jammu and Kashmir
잠비아	Republic of Zambia
잠비아	Zambia
잠수	dive
잠수복	wetsuit
잠수부	diver
잠수함	U-boat
잠수함	submarine
잠열	latent heat
잠이 오게 하는	soporific
잠입	infiltration
잠자다	kip
잠자다	sleep
잠자다	slumber
잠자리	bed
잠자리	dragonfly
잠정적	tentative
잡년	slut
잡년	whore
잡다	arrest
잡다	catch
잡다	hunt
잡다	take
잡수시다	eat
잡수시다	kip
잡수시다	sleep
잡수시다	slumber
잡신	ghost
잡지	journal
잡지	mag
잡지	magazine
잡지	periodical
잡초	grass
잣까마귀	nutcracker
장	Zhuang
장	chapter
장	sheet
장갑	glove
장관	minister
장교	officer
장군	general
장군	warlord
장궁	longbow
장기	janggi
장난	prank
장난감	toy
장난꾸러기	prankster
장난꾸러기의	mischievous
장난꾸러기의	naughty
장뇌	camphor
장님	ablepsia
장님	ablepsy
장님	blindness
장님	cecity
장님	sightlessness
장님거미	harvestman
장래	future
장례	funeral
장례	funerary
장례식	funeral
장례의	funeral
장로교	Presbyterianism
장로교도	Presbyterian
장로교의	Presbyterian
장르	genre
장면	scene
장모	mother-in-law
장미	rose
장벽	iron curtain
장비하다	apparel
장서	library
장석	feldspar
장소	location
장소	place
장소	situation
장송가	dirge
장수	longevity
장수풍뎅이	rhinoceros beetle
장시	Jiangxi
장식음	grace note
장신구	ornament
장쑤	Jiangsu
장애물 경마	steeplechase
장어	eel
장엄한	magnificent
장엄한	splendid
장염	enteritis
장염	gastroenteritis
장인	father-in-law
장작	firewood
장전	charge
장점	merit
장축단	apsis Point of greatest or least distance of the elliptical orbit of an astronomical object from the center of mass of the system, e. g. perihelion or aphelion
장치	device
장파	longwave
장학금	exhibition
재	re
재귀 약자	recursive acronym
재귀대명사	reflexive pronoun
재귀동사	reflexive verb
재규어	jaguar
재난의	disastrous
재능	aptitude
재능	talent
재다	measure
재떨이	ashtray
재료	material
재료	stuff
재료	stuff oneself
재목	timber
재무관	treasurer
재미	fun
재미있다	fun
재배종	cultivar
재배지	plantation
재벌	plutocrat
재벌	zaibatsu
재범	recidivism
재보험	reinsurance
재봉틀	sewing machine
재산	property
재산	substance
재상	chancellor
재생모	shoddy
재스민	jasmine
재시동한 위하여	reboot
재앙	disaster
재의	ashen
재임중인	incumbent
재잘거리다	babble
재정	finance
재조사	review
재즈	jazz
재지 않는	ephemeral
재지 않는	fugacious
재지 않는	passing
재지 않는	short-lived
재지 않는	transient
재지 않는	transitory
재채기	sneeze
재채기하다	sneeze
재채기하다	sternutate
재촉하다	urge
재칼	jackal
재킷	jacket
재판관	judge
재해	disaster
재활용	recycling
재활용하다	recycle
잭 오 랜턴	Jack O'Lantern
잭 오 랜턴	jack-o'-lantern
잭슨	Jackson
쟁기	plough
쟁기질하다	plough
쟁취하다	purchase
저 결혼했습니다	I'm married
저	that
저가락	chopstick
저것	that
저것	that one
저격병	sniper
저격수	sniper
저글링	juggling
저금통	money box
저금통	penny bank
저금통	piggy bank
저금통	piggybank
저기압	depression
저기요	excuse me
저널리스트	journalist
저널리즘	journalism
저녁 식사	supper
저녁	dinner
저녁	evening
저녁	evening meal
저녁	supper
저녁	tea
저녁놀	sunset
저녁식사	supper
저는 ... 살이에요	I'm ... year old
저는 도움이 필요합니다	I need your help
저는 멜버른에 삽니다	I live in Melbourne
저는 의사가 필요합니다	I need a doctor
저는 의사가 필요합니다	is there a doctor in the house
저는 이슬람 교도예요	I'm a Muslim
저는 이슬람 교도입니다	I'm a Muslim
저는 일자리를 찾고있습니다	I am looking for a job
저는 일자리를 찾고있습니다	I'm looking for a job
저는 채식주의자입니다	I'm a vegetarian
저는 채식주의자입니다	I'm vegetarian
저는 통역사가 필요합니다	I need an interpreter
저랑 결혼해 주세요	will you marry me
저렴한	cheap
저렴한	economic
저렴한	inexpensive
저마늄	germanium
저명하다	celebrated
저명한	prominent
저속한 라틴어	Vulgar Latin
저속한	meretricious
저술업	authorship
저승	afterlife
저승	spiritual world
저승사자	Death
저승사자	Grim Reaper
저승사자	death
저어	uh
저어새	spoonbill
저온유연성	low temperature flexibility
저울	balance
저울	scale
저울	scales
저울	weighing scale
저인산혈증	hypophosphatemia
저자	author
저작	writing
저작권	copyright
저장	Zhejiang
저주	curse
저지 섬	Bailiwick of Jersey
저지 섬	Jersey
저지	lowland
저지방	low-fat
저지하다	arrest
저지하다	interfere
저쪽으로	thither
저체온증	hypothermia A condition in which core body temperature drops below that required for normal metabolism and body functions
저탁암	turbidite
저항	resistance
저혈압	hypotension
저희	we
적	enemy
적격의	eligible
적그리스도	antichrist
적다	few
적당하게	duly
적당한	affordable
적대감	hostility
적대적인	hostile
적도 기니	Equatorial Guinea
적도 기니	Republic of Equatorial Guinea
적도	equator
적색 공포	red scare
적색왜성	red dwarf
적성	aptitude
적시다	moisten
적시다	wet
적십자	Red Cross
적십자사	Red Cross
적외선	infrared
적운	cumulus
적은	little
적의	animosity
적의	hostility
적임의	eligible
적자	in the red
적점	dropping point
적포도주	red wine
적합	aptitude
적혈구	red blood cell
전 경찰을 부르겠어요	I'll call the police
전 당신을 싫어합니다	I hate you
전 당신을 좋아합니다	I like you
전 돼지고기를 먹지 않습니다	I don't eat pork
전 아파요	I'm sick
전 제 지갑을 잃어버렸습니다	I lost my wallet
전 조	abodance
전 조	abode
전 조	abodement
전 조	aboding
전 조	augury
전 조	forboding
전 조	foreboding
전 조	omen
전 조	portending
전 조	portent
전	all
전	whole
전갈	scorpion
전갈자리	Scorpio
전갈자리	Scorpius
전격전	blitzkrieg
전공	electrician
전과	criminal record
전구	bulb
전구	electric bulb
전구	electric light
전구	electric-light bulb
전구	incandescent lamp
전구	incandescent light bulb
전구	light bulb
전구	lightbulb
전국	soy sauce
전극	electrode
전기 기사	electrician
전기 분해	electrolysis
전기	biography
전기	elec
전기	electricity
전기영동	electrophoresis
전기용량	capacitance
전기자동차	electric car
전나무	fir
전나무	fir tree
전단	leaflet
전단사	bijection
전단지	leaflet
전달자	communicator
전달하다	advise
전당포	pawnshop
전도서	Ecclesiastes
전도성	conductivity
전동음	trill
전등	lamp
전람회	exhibition
전력	power
전류	electric current
전리층	ionosphere
전리품	pillage
전립샘	prostate
전망하다	survey
전문가의	expert
전반	gamut
전보	telegram
전보	telegraph
전복	abalone
전복	capsizing
전부	all
전부의	entire
전사	surjection
전사	warrior
전사적 품질 관리	TQM
전사적 품질 관리	Total Quality Management
전선	front
전선	wire
전설	legend
전설	mythology
전세계의	universal
전술	tactics
전시	exhibition
전시하다	show
전시하다	showcase
전시회	exhibition
전신	telegraph
전에	ago
전에	before
전염병	plague
전염성	epidemic
전염성이 있는	contagious
전영역	gamut
전원 공급 장치	power supply
전위	avant garde
전위	avant-garde
전자 게임	electronic game
전자 메일 주소	e-mail address
전자 메일 주소	email address
전자 사전	e-dictionary
전자 상업	e-commerce
전자 정부	e-Government
전자 정부	electronic governance
전자 키	electronic key
전자	electron
전자	electronic
전자	transliteration
전자계산기	computer
전자공학	electronics
전자기 스펙트럼	electromagnetic spectrum
전자기파	electromagnetic radiation
전자기학	electromagnetism
전자레인지	microwave oven
전자렌지에 데우다	micro-cook
전자렌지에 데우다	microwave
전자렌지에 데우다	nuke
전자렌지에 데우다	zap
전자석	electromagnet
전자책	e-book
전자책	eBooks
전장	Zhenjiang
전장	battlefield
전쟁 범죄	war crime
전쟁 포로	prisoner of war
전쟁	battle
전쟁	war
전쟁	warfare
전제 조건	precondition
전조등	headlamp
전조등	headlight
전지	battery
전채	appetizer
전채	hors d'oeuvre
전채	hors d’oeuvre
전철	subway
전체	whole
전체주의	totalitarianism
전치사구	prepositional phrase
전통	tradition
전투	action
전투	combat
전투기	fighter plane
전투화	combat boot
전파 망원경	radio telescope
전하	Highness
전하	Your Highness
전하	charge
전형적인	representative
전화	call
전화	electrification
전화	phone
전화	telephone
전화기	phone
전화기	telephone
전화를 걸다	telephone
전화를 끊다	hang up
전화번호	number
전화번호	phone number
전화번호	telephone number
전화번호가 몇 번이에요	what's your phone number
전화번호부	telephone directory
전화하다	call
전화하다	call up
전화하다	phone
전화하다	ring
전화하다	ring up
전화하다	telephone
절	temple
절구	mortar
절굿공이	pestle
절단하다	sever
절대 등급	absolute magnitude The apparent magnitude an object would have if it were at a standard luminosity distance  away from the observer, in the absence of astronomical extinction
절대 영도	absolute zero
절대값	absolute value
절대격	absolutive case
절대다수	absolute majority
절대로	never
절대적으로	unconditionally
절도	despoilment
절도	larceny
절도	steal
절도	theft
절도	thievery
절망	despair
절벽	precipice
절약	saving
절약하다	save
절제	moderation
절제	temperance
절제하는	abstemious
절제하는	temperate
절지동물	arthropod
절차	procedure
젊다	young
젊은 사람	youth
젊은이	young
젊은이	youth
젊은층	young
젊음	youth
점	point
점	spot
점령	occupation
점막 분비물	rheum
점성	viscosity A measure of the resistance of a fluid
점성학	astrology
점성학	star divination
점심	lunch
점심	luncheon
점액	mucus
점원	salesperson
점원	shop assistant
점유권	exclusive right
점유자	possessor
점자	braille
점점 약해지는 음	diminuendo
점착 부여제	tackifier
접골	bonesetting
접근 제어	access control
접근	approach
접근성	accessibility
접두사	prefix
접사	affix
접사	aﬃx
접속사	conjunction
접속사	coǌunction
접속적	conjunctive
접시	dish
접시	plate
접시꽃	hollyhock
접지선	earth
접착제	adhesive
접착제	glue
접촉	contact
접합자	zygote
젓가락	chopstick
젓가락	chopsticks
정 식사	dinner
정 자	kiosk
정가	love song
정강이뼈	shinbone
정관	vas deferens
정교	Orthodoxy
정교회	Orthodoxy
정권 변화	regime change
정권	regime
정규	ordinary
정글 짐	climbing frame
정글 짐	jungle gym
정글 짐	monkey bars
정당	political party
정도	degree
정돈된	neat
정돈된	tidy
정력	virility
정렬 알고리즘	sorting algorithm
정류소	bus stop
정류장	bus stop
정류장	station
정리	theorem
정리하다	adjust
정리하다	correct
정리하다	set
정리하다	tidy up
정말	very
정말로	really
정맥	vein
정면	façade
정문	fontanelle
정물화	still life
정변	coup d'état
정변	coup d’état
정보 검색	IR
정보 검색	information retrieval
정보	information
정보	intelligence
정보기술	information technology
정복자	conqueror
정복하다	conquer
정부	government
정부를 두다	have an affair
정비소	garage
정사	love affair
정사각형	square
정산소종	lapsang souchong
정산하다	calculate
정상의	normal
정설	orthodoxy
정수리	vertex
정숙한	chaste
정식의	regular
정신	courtier
정신	spirit
정신감응	psychokinesis
정신감응	telepathy
정신과의사	shrink
정신력	willpower
정신병원	mental hospital
정신분열증	schizophrenia
정신신체의학자	psychosomaticist
정신의	mental
정신의학	psychiatry
정신이 팔린	bemused
정신증	psychosis
정십이면체	dodecahedron
정액	semen
정액	sperm
정역학	statics
정오	midday
정오	noon
정원	garden
정원	vegetable garden
정월	January
정유	essential oil
정의	definition
정의	deﬁnition
정자	sperm
정자	spermatozoon
정장	suit
정장석	orthoclase
정저우	Zhengzhou
정전	armistice
정전	blackout
정전	ceasefire
정전	truce
정전기학	electrostatics
정전용량	capacitance
정지	arrest
정지시키다	arrest
정직	honesty
정직한	honest
정착성	sedentary
정체자	Traditional Chinese
정체자	traditional Chinese
정치	political
정치	politics
정치가	politician
정치국	politburo
정치범 수용소	concentration camp
정치범	political prisoner
정치인	politician
정치적	political
정치학	political science
정크푸드	junk food
정판	abacus
정하다	decide
정화하다	cleanse
정확하게	exactly
정확하다	correct
정확한	accurate
정확한	exact
정확한	precise
젖	nipple
젖꼭지	nipple
젖꼭지	pacifier
젖꼭지	papilla The projection of a mammary gland from which, on female mammals, milk can be secreted
젖꼭지	teat
젖니	baby tooth
젖니	deciduous tooth
젖니	milk tooth
젖니	milk-tooth
젖니	primary tooth
젖니	temporary tooth
젖다	moisten
젖다	wet
젖당	lactose
젖병	baby's bottle
젖병	bottle
젖병	feeding bottle
젖은	wet
젖짜는 여자	milkmaid
제 3자	third Person
제 구십	ninetieth
제 말을 따라해 주세요	please repeat after me
제 이름은 ...입니다	my name is
제1목뼈	atlas
제2차 세계 대전	World War 2
제2차 세계 대전	World War II
제3제국	Third Reich
제3차 세계 대전	World War III
제거	disposal
제거하다	eliminate
제거하다	withdraw
제공하다	serve
제과점	bakery
제국	empire
제국주의	imperialism
제금	cymbal
제나	Xena
제네바 협약	Geneva Convention
제네바	Geneva
제노글로시	xenoglossia
제노글로시	xenoglossy
제노바	Genoa
제논	xenon
제니	Jenny
제다이	Jedi
제단	altar
제단자리	Ara
제대	umbilical cord
제도	system
제독	admiral
제동장치	arrest
제리캔	jerrycan
제멋대로 하는	selfish
제목	lumber
제목	timber
제목	title
제복	uniform
제부	brother-in-law
제비	swallow
제비꽃	violet
제산제	antacid
제삼자	third party
제석천	Indra
제설차	snow plow
제수	divisor
제시간에	duly
제시카	Jessica
제안	proposition
제안	suggestion
제안하다	propose
제안하다	put forward
제안하다	suggest
제어	control
제왕 절개	C-section
제왕 절개	Caesar
제왕 절개	Caesarean section
제왕 절개	Caesarean section A surgical procedure in which incisions are made through a mother's abdomen and uterus to deliver one or more babies
제왕 절개	caesarean section
제우스	Zeus
제인	Jane
제일	most
제임스 본드	James Bond
제재	sanction
제정하다	constitute
제조하다	manufacture
제주 방언	Cheju
제주 방언	Chejumal
제주 방언	Jeju
제주 사투리	Cheju
제주 사투리	Chejumal
제주 사투리	Jeju
제주	Jeju
제주도	Jeju
제주말	Cheju
제주말	Chejumal
제주말	Jeju
제주시	Jeju
제주어	Cheju
제주어	Chejumal
제주어	Jeju
제초제	herbicide
제타	zeta
제트 엔진	jet engine
제트기	jet
제트기	jet aircraft
제퍼슨	Jefferson
제품	product
제한	constrain
제한하는	restrictive
제한하다	restrict
제화	shoemaking
제휴자	associate
제휴하다	associate
젠체하다	conspicuous
젤다	Zelda
젤라토	gelato
젤라틴	gelatine
젤레즈노고르스크	Zheleznogorsk
젤리빈	jelly bean
젬피라	Zemfira
조가비	conch
조가비	shell
조각	chunk
조각	piece
조각	sculpture
조각	snippet
조각상	statue
조각칼자리	Caelum
조개	mussel
조개	seashell
조개	shell
조개	shellfish
조건	stipulation
조격	instrumental case
조금	a little
조금	few
조금	slightly
조깅	jogging
조끼	vest
조끼	waistcoat
조동사	auxiliary verb
조드	dzud
조드푸르	Jodhpur
조례	ordinance
조로	Zorro
조로아스터	Zoroaster
조롱하다	skit
조루	premature ejaculation
조류 독감	avian influenza
조류	alga
조류	algae
조류학	ornithology
조리법	recipe
조립	formation
조물주	creator
조반	breakfast
조사	particle
조사	postposition
조사	research
조사	survey
조사하다	examine
조사하다	investigate
조사하다	survey
조상 언어	proto-language
조상	ancestor
조상	parent
조상	statue
조선 사람	Korean
조선 해협	Korea Strait
조선	Democratic People's Republic of Korea
조선	Korea
조선	North Korea
조선	shipbuilding
